msme_id,discipline_level,pattern,volatility_level,has_employees,filing_on_time_rate,upi_trend_slope,cashflow_volatility_score,top_buyer_concentration_pct,payroll_consistency_score,credit_ready
e051bf0c,average,declining,low,False,0.417,-0.048,0.059,0.247,0.5,0
6df8136a,poor,growing,high,False,0.333,0.031,0.33,0.7,0.5,0
118fa753,poor,flat,low,True,0.083,-0.011,0.054,0.407,0.833,0
4e51aee0,good,declining,low,False,0.917,-0.042,0.071,0.155,0.5,0
93e2abd9,poor,flat,high,False,0.0,0.013,0.269,0.861,0.5,0
d7e9e58f,good,declining,high,True,0.917,-0.052,0.335,0.728,0.5,0
19d2ff6c,average,growing,low,False,0.583,0.037,0.057,0.465,0.5,1
bbc3b2c9,average,growing,high,False,0.333,0.033,0.269,0.801,0.5,0
b07e2d0d,poor,growing,low,True,0.167,0.04,0.054,0.282,0.75,0
069e70cc,average,declining,medium,True,0.5,-0.037,0.193,0.343,0.833,0
ca8d3adb,average,growing,high,True,0.5,0.034,0.339,0.897,0.5,0
e6a667d6,good,declining,high,True,0.833,-0.035,0.39,0.585,0.583,0
d5ae188a,poor,flat,medium,True,0.333,0.01,0.121,0.279,0.667,0
03cc6e14,average,flat,high,True,0.583,-0.002,0.438,0.612,0.583,0
6c1e30a8,good,flat,medium,False,1.0,0.009,0.186,0.208,0.5,1
0a7d2fcc,good,declining,medium,True,0.833,-0.047,0.164,0.249,0.583,0
5e5dc117,good,growing,medium,True,0.833,0.044,0.089,0.461,0.5,1
e12e658d,average,growing,high,False,0.667,0.049,0.465,0.728,0.5,0
c0ddb066,average,flat,low,False,0.667,0.012,0.059,0.442,0.5,0
b178c0bd,average,declining,medium,True,0.417,-0.052,0.152,0.209,0.75,0
f34604d3,poor,flat,low,False,0.25,0.016,0.065,0.365,0.5,0
2162b455,average,growing,medium,False,0.667,0.03,0.174,0.387,0.5,1
b5c3a971,average,declining,medium,True,0.833,-0.046,0.132,0.248,0.667,0
53dd48b7,average,growing,low,True,0.583,0.043,0.061,0.289,0.5,1
14c3c1a9,good,flat,medium,True,0.917,0.009,0.163,0.111,0.75,1
68b95bce,good,growing,medium,False,0.917,0.037,0.138,0.109,0.5,1
7e513bb5,average,growing,low,False,0.583,0.036,0.059,0.19,0.5,1
7f89d617,average,growing,high,False,0.667,0.034,0.555,0.78,0.5,0
813a65f0,poor,growing,low,True,0.167,0.048,0.049,0.232,0.583,0
2af353ca,good,growing,low,False,0.917,0.016,0.033,0.239,0.5,1
db685951,average,growing,medium,True,0.667,0.011,0.135,0.26,0.583,0
469d9fe5,good,flat,high,False,1.0,-0.017,0.374,0.834,0.5,0
fd0eb2df,poor,flat,low,True,0.0,0.005,0.033,0.428,0.917,0
5a3d1079,average,flat,low,False,0.5,0.02,0.05,0.347,0.5,0
bec591a7,average,growing,high,False,0.583,0.039,0.411,0.62,0.5,0
963f7b72,good,growing,medium,False,1.0,0.041,0.176,0.433,0.5,1
3241fc87,poor,declining,high,False,0.167,-0.052,0.387,0.826,0.5,0
2eaf8e52,good,growing,low,True,0.75,0.027,0.056,0.467,0.583,1
3f5e10fd,poor,declining,high,True,0.167,-0.032,0.327,0.85,0.75,0
e9491338,good,growing,high,True,0.917,0.049,0.464,0.727,0.667,1
52bacdd0,good,growing,high,True,0.833,0.055,0.326,0.771,0.833,1
bfbb38dc,good,growing,low,True,0.75,0.044,0.06,0.286,0.583,1
7a8e65d1,average,declining,high,False,0.417,-0.047,0.289,0.888,0.5,0
f6b06ad8,average,declining,low,False,0.667,-0.038,0.066,0.413,0.5,0
fe0528b7,good,growing,medium,True,0.833,0.049,0.19,0.318,0.667,1
97a18ab7,poor,declining,low,False,0.167,-0.039,0.067,0.452,0.5,0
fb6159c1,average,flat,medium,True,0.667,-0.022,0.175,0.181,0.75,0
1c033fbb,good,flat,low,True,0.833,-0.007,0.056,0.116,0.5,1
05bdcca9,good,declining,high,False,0.917,-0.046,0.435,0.768,0.5,0
b908979a,good,flat,medium,True,1.0,-0.0,0.189,0.277,0.75,1
41164385,average,declining,medium,True,0.667,-0.045,0.131,0.323,0.667,0
f05e9bd6,good,growing,high,False,0.75,0.04,0.374,0.755,0.5,0
86c907d6,average,declining,low,True,0.75,-0.037,0.051,0.191,0.75,1
6ca5e17a,average,declining,medium,True,0.417,-0.054,0.202,0.396,0.75,0
4bceafac,poor,flat,high,False,0.167,-0.012,0.398,0.8,0.5,0
7f64e410,good,flat,high,True,1.0,0.007,0.377,0.58,0.583,1
664cb973,average,flat,medium,False,0.25,-0.003,0.173,0.225,0.5,0
b9845bdc,poor,declining,low,False,0.25,-0.057,0.052,0.279,0.5,0
7b19a7e9,poor,flat,low,True,0.0,0.007,0.048,0.256,0.667,0
5941338d,poor,declining,high,False,0.167,-0.038,0.416,0.791,0.5,0
fc8afcdf,good,growing,medium,True,1.0,0.02,0.127,0.138,0.5,1
31a06c5b,poor,growing,low,False,0.25,0.031,0.053,0.254,0.5,0
b32c87f5,average,flat,low,False,0.583,0.006,0.059,0.169,0.5,1
055b7b7f,good,flat,low,False,0.833,0.004,0.045,0.248,0.5,1
75286bbd,good,growing,medium,True,0.917,0.037,0.143,0.379,0.583,1
47655838,poor,growing,medium,True,0.083,0.04,0.176,0.382,0.667,0
c73544e8,good,declining,low,True,0.917,-0.049,0.068,0.413,0.833,0
d6913837,poor,declining,low,True,0.083,-0.064,0.057,0.135,0.667,0
a232ceba,good,flat,low,False,0.917,0.003,0.065,0.376,0.5,1
8bbe6f17,good,growing,high,True,0.917,0.04,0.462,0.807,0.75,0
3de9da3c,good,growing,high,True,1.0,0.032,0.215,0.87,0.833,1
37cbcbaf,good,declining,high,True,0.833,-0.037,0.355,0.82,0.667,0
2f47d841,poor,flat,high,True,0.25,-0.003,0.319,0.86,0.833,0
c8d43fae,poor,declining,high,False,0.0,-0.046,0.328,0.536,0.5,0
55f347da,good,flat,medium,False,0.917,-0.003,0.158,0.403,0.5,1
f2ca30cf,average,declining,high,True,0.833,-0.043,0.277,0.526,0.75,0
d6c53999,poor,growing,high,True,0.0,0.038,0.359,0.881,0.917,0
c24fa563,good,growing,low,False,0.833,0.015,0.046,0.113,0.5,1
bdb2838c,poor,flat,low,False,0.417,-0.009,0.063,0.365,0.5,0
c480cef9,average,declining,low,True,0.417,-0.042,0.056,0.229,0.917,0
0f427965,poor,declining,medium,False,0.25,-0.047,0.212,0.327,0.5,0
0f4849d2,average,growing,high,False,0.5,0.036,0.355,0.54,0.5,0
aee88f1d,good,declining,low,False,0.833,-0.026,0.043,0.257,0.5,1
9b6daf0b,good,declining,low,False,0.75,-0.053,0.054,0.181,0.5,0
d86943f0,good,growing,medium,False,0.75,0.032,0.167,0.37,0.5,1
441c41b1,average,flat,high,True,0.667,-0.003,0.406,0.823,0.75,0
d5fed92e,good,growing,high,True,1.0,0.037,0.485,0.563,0.667,1
e1b91404,poor,flat,medium,False,0.417,0.003,0.177,0.316,0.5,0
ab04cf16,good,growing,low,False,0.833,0.032,0.066,0.162,0.5,1
a10be0ef,average,growing,high,False,0.583,0.061,0.412,0.555,0.5,0
03c58e8c,average,flat,high,True,0.75,-0.006,0.279,0.643,0.583,0
033be241,good,growing,high,True,0.833,0.04,0.363,0.883,0.833,1
151e9f13,average,declining,low,True,0.667,-0.035,0.055,0.322,0.417,0
f6409f50,poor,declining,high,True,0.417,-0.018,0.568,0.857,0.667,0
c705de80,poor,flat,high,False,0.083,0.008,0.314,0.885,0.5,0
fc936e3e,good,growing,low,True,0.917,0.039,0.076,0.332,0.833,1
9a7e4e42,good,flat,medium,True,0.917,0.004,0.156,0.455,1.0,1
98e67988,poor,flat,medium,False,0.167,0.003,0.175,0.369,0.5,0
9248b8eb,average,growing,low,False,0.583,0.033,0.067,0.442,0.5,1
50ff7e11,average,growing,low,False,0.5,0.057,0.06,0.304,0.5,0
6b72e3a1,good,declining,medium,False,0.833,-0.033,0.148,0.105,0.5,0
e17def97,poor,flat,high,True,0.25,0.003,0.364,0.583,0.833,0
8789e1c8,average,growing,medium,False,0.583,0.042,0.168,0.469,0.5,0
66b7037b,poor,flat,low,True,0.083,0.001,0.052,0.227,0.667,0
3a12d574,poor,growing,medium,True,0.25,0.05,0.114,0.464,0.75,0
c466d98f,average,declining,high,False,0.667,-0.033,0.399,0.828,0.5,0
fd663490,good,flat,high,True,1.0,0.003,0.458,0.871,0.667,1
f82eed31,average,flat,medium,False,0.5,-0.002,0.163,0.202,0.5,0
a4828d6c,poor,declining,high,True,0.083,-0.044,0.396,0.695,0.75,0
840ad5d1,average,growing,high,True,0.5,0.021,0.376,0.817,0.667,0
a3c9313b,average,flat,high,True,0.833,0.003,0.5,0.772,1.0,1
2aae6650,good,growing,low,True,0.917,0.047,0.066,0.439,0.667,1
cb2bef9b,poor,growing,medium,False,0.333,0.038,0.141,0.316,0.5,0
0ce8cbf7,good,flat,medium,True,0.583,-0.005,0.167,0.413,0.5,0
835d51c8,average,declining,high,False,0.583,-0.044,0.492,0.673,0.5,0
c08ce377,good,flat,medium,False,0.917,-0.0,0.198,0.223,0.5,1
95546c09,average,flat,low,True,0.417,-0.001,0.062,0.416,0.833,0
dbfd1d7d,poor,flat,medium,False,0.083,0.004,0.169,0.15,0.5,0
e808d3d5,poor,declining,low,False,0.333,-0.035,0.036,0.231,0.5,0
f651203b,average,flat,medium,True,0.667,-0.004,0.146,0.399,0.75,0
2c4c9665,poor,growing,low,False,0.167,0.023,0.064,0.166,0.5,0
5255fb1b,poor,flat,medium,True,0.083,-0.002,0.176,0.154,0.75,0
35350839,poor,declining,high,True,0.0,-0.054,0.368,0.599,0.75,0
e5a36711,average,declining,low,False,0.417,-0.041,0.037,0.15,0.5,0
80ab0e56,average,growing,high,True,0.583,0.041,0.312,0.857,0.833,0
938e0bb8,average,growing,low,True,0.75,0.024,0.041,0.495,0.833,1
b1fb579d,poor,flat,low,False,0.167,-0.001,0.057,0.386,0.5,0
9d16ec60,poor,flat,medium,False,0.167,-0.002,0.173,0.219,0.5,0
6e6d07db,good,flat,medium,False,0.917,0.015,0.164,0.425,0.5,1
6c1feb1a,average,growing,medium,False,0.583,0.056,0.185,0.171,0.5,1
bcc80220,poor,growing,low,False,0.083,0.048,0.048,0.488,0.5,0
874cda48,poor,growing,high,True,0.167,0.049,0.464,0.773,0.917,0
715181a0,average,flat,high,False,0.417,0.009,0.525,0.524,0.5,0
bdac29de,average,declining,medium,False,0.583,-0.039,0.141,0.386,0.5,0
6a276d72,average,declining,low,True,0.75,-0.048,0.067,0.48,0.917,0
0e35a227,average,declining,high,True,0.75,-0.025,0.376,0.764,0.75,0
9405da6e,good,growing,high,False,0.667,0.011,0.279,0.887,0.5,1
f4fde062,average,growing,medium,True,0.5,0.044,0.166,0.243,0.667,1
93fce712,poor,declining,medium,True,0.083,-0.053,0.16,0.494,0.667,0
56e17893,good,flat,medium,False,1.0,-0.002,0.135,0.16,0.5,1
397d88de,average,declining,low,False,0.333,-0.027,0.053,0.437,0.5,0
e81d9fa0,good,flat,medium,False,0.833,0.004,0.169,0.229,0.5,1
78547e29,average,declining,low,True,0.75,-0.029,0.067,0.177,0.5,1
774e2ce5,poor,growing,low,False,0.167,0.033,0.044,0.186,0.5,0
47b4e413,poor,growing,high,True,0.167,0.027,0.279,0.79,0.917,0
8cf9a485,poor,declining,medium,True,0.167,-0.04,0.168,0.216,0.75,0
497bb6c1,good,growing,low,True,0.917,0.03,0.057,0.468,0.833,1
5a5091db,good,flat,high,False,0.833,0.001,0.362,0.675,0.5,0
6d4e8a7b,good,growing,low,False,1.0,0.035,0.049,0.354,0.5,1
dd3a8b17,poor,declining,medium,True,0.25,-0.036,0.125,0.304,0.917,0
05077df5,good,declining,low,False,1.0,-0.029,0.052,0.32,0.5,1
7ebef596,good,flat,high,True,0.75,-0.007,0.353,0.874,0.667,0
ffb2bb61,poor,flat,low,True,0.333,-0.004,0.054,0.403,0.75,0
afcfc5f5,good,flat,low,True,0.75,-0.028,0.052,0.238,0.833,1
bbfe4680,average,declining,low,True,0.833,-0.047,0.045,0.243,0.667,0
27a24223,average,growing,low,False,0.667,0.031,0.046,0.275,0.5,0
2d726f32,good,declining,high,False,0.917,-0.039,0.43,0.583,0.5,0
7ff4a86d,average,flat,medium,False,0.667,0.009,0.135,0.226,0.5,1
c114aac7,poor,declining,low,True,0.083,-0.051,0.057,0.12,0.583,0
c4f135b8,poor,flat,low,True,0.25,0.005,0.048,0.469,0.75,0
fe6fc5cd,good,declining,medium,True,1.0,-0.042,0.154,0.359,0.583,0
73680085,average,flat,low,False,0.667,-0.013,0.057,0.495,0.5,0
af18cee4,average,declining,high,True,0.667,-0.027,0.478,0.817,0.833,0
39fabaca,average,flat,low,True,0.583,0.009,0.067,0.337,0.5,0
38d76631,average,growing,medium,True,0.5,0.036,0.145,0.425,0.75,1
e04e888e,good,growing,high,True,0.917,0.029,0.463,0.682,0.75,1
c12843e4,poor,declining,medium,False,0.167,-0.027,0.164,0.252,0.5,0
d3cb4675,poor,declining,medium,True,0.167,-0.028,0.103,0.149,0.833,0
3ad627d9,average,declining,high,True,0.5,-0.063,0.504,0.569,0.833,0
e56eeffb,poor,declining,low,False,0.083,-0.031,0.042,0.471,0.5,0
e1cb8db1,poor,flat,medium,False,0.25,-0.003,0.103,0.14,0.5,0
d27206c3,poor,flat,low,False,0.0,0.009,0.061,0.293,0.5,0
34083c52,average,flat,high,True,0.75,0.007,0.426,0.808,0.667,0
2a14496f,poor,growing,low,True,0.167,0.051,0.059,0.309,0.917,0
6e3763f1,poor,declining,medium,True,0.333,-0.052,0.182,0.246,0.833,0
6fb1b2fb,good,declining,low,False,0.75,-0.043,0.061,0.494,0.5,0
f81540e1,poor,growing,medium,True,0.083,0.051,0.174,0.373,0.5,0
54d7e862,average,declining,high,True,0.75,-0.037,0.398,0.649,0.75,0
18a5763d,good,flat,low,True,1.0,-0.0,0.053,0.249,0.833,1
50fa474f,good,flat,medium,True,0.917,-0.003,0.18,0.236,0.583,1
3938f973,good,flat,high,True,1.0,-0.004,0.363,0.889,0.75,0
11258a9f,average,flat,medium,False,0.75,0.021,0.173,0.24,0.5,1
b83e2222,poor,declining,high,True,0.083,-0.05,0.37,0.504,0.5,0
0be6b858,poor,declining,high,True,0.5,-0.026,0.446,0.619,0.667,0
7dfcfad1,average,declining,high,True,0.583,-0.02,0.348,0.834,0.667,0
61b58143,good,growing,medium,False,0.917,0.024,0.123,0.222,0.5,1
feb3e977,average,flat,low,True,0.583,0.005,0.052,0.392,0.75,0
d63e831b,good,growing,medium,False,0.75,0.041,0.169,0.32,0.5,1
32463d4e,poor,declining,low,False,0.167,-0.025,0.06,0.191,0.5,0
3b378a72,average,declining,high,False,0.667,-0.051,0.444,0.723,0.5,0
d1883173,poor,declining,high,False,0.167,-0.057,0.382,0.899,0.5,0
2d6a4f97,good,growing,low,False,0.917,0.031,0.059,0.386,0.5,1
a0eb2f0d,average,flat,high,False,0.75,-0.009,0.384,0.768,0.5,0
f8cd3dc4,average,flat,high,True,0.333,-0.024,0.362,0.542,0.833,0
b426aa73,good,flat,low,True,1.0,-0.011,0.049,0.329,0.583,1
af5e14d6,good,flat,high,False,0.833,-0.007,0.336,0.71,0.5,0
866a8d35,average,flat,high,True,0.583,0.011,0.325,0.57,0.667,0
697bb797,average,flat,high,True,0.583,0.025,0.29,0.843,0.667,0
0b49fd70,average,declining,medium,True,0.583,-0.037,0.127,0.174,0.75,0
2f1dadea,average,flat,low,True,0.667,0.013,0.052,0.367,0.583,0
432f4326,good,growing,high,False,0.833,0.044,0.407,0.629,0.5,1
f4ca2485,good,flat,low,False,1.0,0.012,0.042,0.467,0.5,1
9bef3c40,good,declining,high,True,0.75,-0.049,0.411,0.802,0.833,0
eb10c70f,good,growing,high,True,1.0,0.023,0.302,0.832,0.667,1
306411bf,good,declining,high,False,0.833,-0.045,0.449,0.855,0.5,0
cabec92a,good,declining,high,True,1.0,-0.046,0.489,0.534,0.917,0
eb8de4fd,average,flat,high,True,0.333,-0.009,0.328,0.599,0.75,0
540ac7dc,good,declining,low,True,0.75,-0.039,0.07,0.227,0.667,0
be4e41d9,poor,flat,high,False,0.25,0.001,0.31,0.629,0.5,0
daa0a8df,average,declining,low,True,0.583,-0.043,0.063,0.376,0.417,0
fc4f2a87,average,growing,low,False,0.75,0.048,0.058,0.175,0.5,1
19f0de68,good,flat,low,True,1.0,-0.015,0.053,0.114,0.583,1
2462785e,good,declining,low,False,0.833,-0.019,0.047,0.324,0.5,1
f6575637,poor,flat,low,True,0.25,-0.011,0.058,0.129,0.583,0
582cdfec,average,declining,high,False,0.583,-0.037,0.448,0.888,0.5,0
a4197054,poor,growing,high,True,0.167,0.025,0.358,0.565,0.667,0
9f3f97aa,average,flat,high,False,0.417,-0.015,0.351,0.667,0.5,0
1acd4131,average,growing,high,False,0.667,0.035,0.312,0.851,0.5,1
7b0708b7,good,declining,low,True,0.917,-0.047,0.045,0.33,0.583,1
71a6060e,average,flat,high,False,0.75,-0.012,0.564,0.763,0.5,0
e08d7c2b,poor,growing,medium,True,0.167,0.034,0.176,0.404,0.667,0
49214975,good,flat,high,True,0.917,-0.008,0.459,0.751,0.75,0
94343744,good,growing,high,True,0.917,0.04,0.35,0.62,0.667,1
0dd8f7e2,good,flat,medium,False,0.917,-0.006,0.186,0.35,0.5,1
3f52fd92,good,flat,high,False,0.917,-0.011,0.255,0.694,0.5,0
bcfdb4b7,average,flat,medium,False,0.917,-0.005,0.191,0.277,0.5,1
86bf2988,average,flat,low,False,0.667,-0.006,0.056,0.337,0.5,1
14206b3f,poor,growing,low,True,0.333,0.057,0.062,0.359,0.583,0
032c8847,good,declining,high,False,0.833,-0.061,0.342,0.525,0.5,0
5d571e6e,good,flat,low,False,1.0,0.0,0.066,0.201,0.5,1
487b3e96,poor,growing,high,False,0.417,0.055,0.493,0.788,0.5,0
120fbc30,average,flat,low,True,0.417,0.002,0.044,0.219,0.5,0
c776dec7,poor,declining,low,True,0.25,-0.038,0.048,0.109,0.667,0
3519202b,average,flat,high,True,0.583,0.008,0.436,0.833,0.833,0
b5d7d2db,average,growing,medium,True,0.667,0.044,0.153,0.245,0.667,1
3690985e,poor,flat,low,False,0.25,-0.008,0.057,0.383,0.5,0
93331eec,average,declining,low,True,0.667,-0.05,0.052,0.309,0.667,0
cee40744,average,declining,low,True,0.667,-0.035,0.051,0.466,0.5,0
c7b7a781,poor,growing,low,False,0.083,0.028,0.045,0.333,0.5,0
69afc59b,poor,growing,high,True,0.0,0.049,0.331,0.883,0.75,0
81c25ca2,poor,declining,medium,False,0.25,-0.051,0.131,0.327,0.5,0
74cd9307,good,flat,medium,False,1.0,-0.019,0.15,0.249,0.5,1
a410b728,average,flat,medium,True,0.833,0.009,0.206,0.293,0.667,1
a281988c,good,flat,low,False,1.0,0.013,0.057,0.293,0.5,1
7cf383ec,poor,growing,low,False,0.083,0.039,0.053,0.448,0.5,0
a8e06d3d,poor,flat,low,False,0.083,0.003,0.05,0.244,0.5,0
63265433,poor,flat,low,True,0.0,-0.004,0.063,0.489,0.917,0
53ffcef9,poor,growing,low,True,0.0,0.038,0.049,0.397,0.833,0
d999b593,good,growing,low,False,0.75,0.033,0.054,0.328,0.5,1
1c9bd52f,poor,declining,high,True,0.167,-0.053,0.419,0.73,0.75,0
0ca3a320,good,declining,low,False,0.833,-0.034,0.063,0.477,0.5,1
8b31b3e9,good,growing,low,True,0.75,0.038,0.047,0.318,0.583,1
7434e726,average,growing,high,False,0.417,0.035,0.393,0.616,0.5,0
477daad7,poor,declining,low,True,0.333,-0.03,0.055,0.482,0.75,0
1f4edd2a,poor,growing,low,False,0.083,0.045,0.063,0.288,0.5,0
5bd400e7,good,flat,low,False,0.833,0.009,0.058,0.281,0.5,1
f672e64f,poor,declining,high,False,0.333,-0.029,0.366,0.702,0.5,0
18ef7d1b,poor,flat,medium,False,0.333,0.002,0.199,0.209,0.5,0
0fb7d940,average,declining,medium,True,0.667,-0.036,0.153,0.212,0.833,0
b2b49168,average,growing,medium,True,0.5,0.047,0.16,0.346,0.75,1
b28945b5,poor,flat,high,False,0.25,0.01,0.405,0.755,0.5,0
ea15136a,average,flat,low,False,0.667,-0.001,0.05,0.109,0.5,0
3f6cc414,good,growing,low,True,1.0,0.024,0.066,0.325,0.5,1
cf869b61,average,declining,low,True,0.583,-0.052,0.051,0.344,0.667,0
64fcd26e,good,growing,medium,False,0.917,0.05,0.184,0.188,0.5,1
191986ea,good,flat,low,False,0.917,0.004,0.053,0.319,0.5,0
20d6d65c,average,growing,low,True,0.333,0.037,0.053,0.487,0.667,0
f9b455cf,average,declining,high,False,0.5,-0.039,0.358,0.87,0.5,0
f466ccb1,good,flat,low,True,0.917,-0.007,0.048,0.443,0.667,1
c4a884b1,good,declining,high,True,0.833,-0.048,0.322,0.745,0.5,0
99196f56,average,flat,medium,False,0.75,-0.006,0.154,0.183,0.5,1
2fcac648,average,growing,low,False,0.75,0.044,0.061,0.216,0.5,1
037e305e,poor,growing,high,False,0.167,0.025,0.369,0.844,0.5,0
c76c593d,poor,flat,high,False,0.083,-0.012,0.47,0.617,0.5,0
